application_number,sponsor_name,brand_name,generic_name,submission_type,submission_number,submission_status,submission_status_date,review_priority,submission_class_code_description,application_type,generic_name_clean,brand_name_clean,is_orphan,has_ncd,ncd_category,nadac_per_unit,is_brand,has_nadac_price,launch_price,is_priority_review,is_standard_review,is_nda,is_bla,is_anda,is_new_molecular_entity,is_new_indication,approval_year,approval_month,approval_quarter,regulatory_advantage_score,likely_accelerated,therapeutic_area,therapeutic_area_encoded,is_high_value_area,is_complex_dosage,is_oral_simple,is_biologic,log_launch_price,price_tier,market_size_proxy,month_sin,month_cos,years_since_2010,is_q4_approval,is_election_year,coverage_difficulty_score,target_high_barrier
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,ORIG,1,AP,1974-10-15,STANDARD,Type 3 - New Dosage Form,NDA,ethinyl estradiol,modicon 21,False,False,,,,False,,False,True,True,False,False,False,False,1974,10,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844386,0.5000000000000001,-36,1,0,0.3333333333333333,0
ANDA076568,P AND L,NICOTINE POLACRILEX,NICOTINE POLACRILEX,ORIG,1,AP,2004-07-29,,,ANDA,nicotine polacrilex,nicotine polacrilex,False,False,,,,False,,False,False,False,False,True,False,False,2004,7,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.4999999999999997,-0.8660254037844388,-6,0,0,0.3333333333333333,0
ANDA076296,FRESENIUS KABI USA,VINCRISTINE SULFATE,VINCRISTINE SULFATE,ORIG,1,AP,2002-12-20,,,ANDA,vincristine sulfate,vincristine sulfate,False,False,,,,False,,False,False,False,False,True,False,False,2002,12,4,0,0,other,1,0,0,0,0,0.0,0,0,-2.4492935982947064e-16,1.0,-8,1,0,0.3333333333333333,0
ANDA081299,OHM LABS,CHLORZOXAZONE,CHLORZOXAZONE,ORIG,1,AP,1993-12-29,,,ANDA,chlorzoxazone,chlorzoxazone,False,False,,,,False,,False,False,False,False,True,False,False,1993,12,4,0,0,other,1,0,0,0,0,0.0,0,0,-2.4492935982947064e-16,1.0,-17,1,0,0.3333333333333333,0
ANDA084215,ROCHE PALO,EVEX,"ESTROGENS, ESTERIFIED",ORIG,1,AP,1977-09-28,,,ANDA,"estrogens, esterified",evex,False,False,,,,False,,False,False,False,False,True,False,False,1977,9,3,0,0,other,1,0,0,0,0,0.0,0,0,-1.0,-1.8369701987210297e-16,-33,0,0,0.3333333333333333,0
ANDA077138,TEVA PHARMS,CIPROFLOXACIN IN DEXTROSE 5% IN PLASTIC CONTAINER,CIPROFLOXACIN,ORIG,1,TA,2005-09-21,,,ANDA,ciprofloxacin,ciprofloxacin in dextrose 5% in plastic container,False,False,,,,False,,False,False,False,False,True,False,False,2005,9,3,0,0,other,1,0,0,0,0,0.0,0,0,-1.0,-1.8369701987210297e-16,-5,0,0,0.3333333333333333,0
NDA017569,GLENWOOD,RENOQUID,SULFACYTINE,ORIG,1,AP,1975-09-12,PRIORITY,Type 1 - New Molecular Entity,NDA,sulfacytine,renoquid,False,False,,,,False,,True,False,True,False,False,True,False,1975,9,3,2,0,other,1,0,0,0,0,0.0,0,0,-1.0,-1.8369701987210297e-16,-35,0,0,0.0,0
ANDA077743,SANDOZ,RIBAVIRIN,RIBAVIRIN,ORIG,1,AP,2006-10-03,,,ANDA,ribavirin,ribavirin,False,False,,,,False,,False,False,False,False,True,False,False,2006,10,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.8660254037844386,0.5000000000000001,-4,1,0,0.3333333333333333,0
ANDA078037,CHARTWELL MOLECULAR,GRANISETRON HYDROCHLORIDE,GRANISETRON HYDROCHLORIDE,ORIG,1,AP,2008-02-27,,,ANDA,granisetron hydrochloride,granisetron hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,2008,2,1,0,0,other,1,0,0,0,0,0.0,0,0,0.8660254037844386,0.5000000000000001,-2,0,0,0.3333333333333333,0
ANDA078337,PADAGIS ISRAEL,BETAMETHASONE VALERATE,BETAMETHASONE VALERATE,ORIG,1,AP,2012-11-26,,,ANDA,betamethasone valerate,betamethasone valerate,False,False,,,,False,,False,False,False,False,True,False,False,2012,11,4,0,0,other,1,0,0,0,0,0.0,0,0,-0.5000000000000004,0.8660254037844384,2,1,1,0.3333333333333333,0
ANDA078631,PLIVA LACHEMA,CARBOPLATIN,CARBOPLATIN,ORIG,1,AP,2008-12-02,,,ANDA,carboplatin,carboplatin,False,False,,,,False,,False,False,False,False,True,False,False,2008,12,4,0,0,other,1,0,0,0,0,0.0,0,0,-2.4492935982947064e-16,1.0,-2,1,0,0.3333333333333333,0
ANDA078939,LUPIN,ETHAMBUTOL HYDROCHLORIDE,ETHAMBUTOL HYDROCHLORIDE,ORIG,1,AP,2009-06-17,,,ANDA,ethambutol hydrochloride,ethambutol hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,2009,6,2,0,0,other,1,0,0,0,0,0.0,0,0,1.2246467991473532e-16,-1.0,-1,0,0,0.3333333333333333,0
ANDA080016,CHARTWELL MOLECULAR,PROPYLTHIOURACIL,PROPYLTHIOURACIL,ORIG,1,AP,1970-07-24,,,ANDA,propylthiouracil,propylthiouracil,False,False,,,,False,,False,False,False,False,True,False,False,1970,7,3,0,0,other,1,0,0,0,0,0.0,0,0,-0.4999999999999997,-0.8660254037844388,-40,0,0,0.3333333333333333,0
ANDA080629,WATSON LABS,PROMETHAZINE HYDROCHLORIDE,PROMETHAZINE HYDROCHLORIDE,ORIG,1,AP,1974-01-29,,,ANDA,promethazine hydrochloride,promethazine hydrochloride,False,False,,,,False,,False,False,False,False,True,False,False,1974,1,1,0,0,other,1,0,0,0,0,0.0,0,0,0.49999999999999994,0.8660254037844387,-36,0,0,0.3333333333333333,0
