application_number,sponsor_name,brand_name,generic_name,submission_type,submission_number,submission_status,submission_status_date,review_priority,submission_class_code_description,application_type
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,32,AP,1978-01-18,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,85,AP,1989-10-23,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,24,AP,1976-12-23,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,77,AP,1985-10-21,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,91,AP,1993-05-18,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,69,AP,1980-11-20,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,83,AP,1988-10-28,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,22,AP,1976-05-11,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,75,AP,1984-06-21,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,81,AP,1988-09-09,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,9,AP,1976-05-18,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,59,AP,1979-08-15,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,73,AP,1983-09-29,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,12,AP,1976-05-18,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,65,AP,1980-03-28,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,71,AP,1983-06-15,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,10,AP,1976-05-18,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,108,AP,2002-02-21,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,5,AP,1975-08-07,STANDARD,Manufacturing (CMC),NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,63,AP,1979-11-13,STANDARD,Labeling,NDA
NDA017488,ORTHO MCNEIL PHARM,MODICON 21,ETHINYL ESTRADIOL,SUPPL,3,AP,1975-08-07,STANDARD,Manufacturing (CMC),NDA
